"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"beta0",-27.0219498666667,-26.8502,-25.9691503646874,7921.6,0.95,-34.28,-19.9845,NA,NA,NA,NA,NA,NA,NA
"beta[1]",0.321490410133333,0.3194975,0.325021173433736,10318.1,0.95,0.162667,0.472866,NA,NA,NA,NA,NA,NA,NA
"beta[2]",0.0107764092513333,0.01071515,0.0106982336863193,8258.6,0.95,0.00785266,0.013784,NA,NA,NA,NA,NA,NA,NA
"beta[3]",73.45001174,72.7995,71.3957166522595,8954.7,0.95,43.1891,105.255,NA,NA,NA,NA,NA,NA,NA
"beta[4]",18.7389361122667,18.7386,17.6784372736119,11375.2,0.95,8.23506,29.7447,NA,NA,NA,NA,NA,NA,NA
"zbeta0",-0.32374698667656,-0.3248615,-0.366496177862491,10056.9,0.95,-0.990678,0.300077,NA,NA,NA,NA,NA,NA,NA
"zbeta[1]",1.3738374184,1.365325,1.38892521760731,10318.1,0.95,0.695131,2.02072,NA,NA,NA,NA,NA,NA,NA
"zbeta[2]",5.83767331533333,5.804505,5.79532126598687,8258.6,0.95,4.25385,7.46693,NA,NA,NA,NA,NA,NA,NA
"zbeta[3]",1.62066252906667,1.60631,1.57533656414285,8954.7,0.95,0.95296,2.32243,NA,NA,NA,NA,NA,NA,NA
"zbeta[4]",1.41706605428667,1.41704,1.3368681981296,11375.2,0.95,0.622747,2.24934,NA,NA,NA,NA,NA,NA,NA
