"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"beta0",-29.571949,-29.31665,-28.954860816513,6386.3,0.95,-38.1776,-20.9879,NA,NA,NA,NA,NA,NA,NA
"beta[1]",0.337467876106667,0.333367,0.319539816414571,9815.7,0.95,0.181288,0.506468,NA,NA,NA,NA,NA,NA,NA
"beta[2]",0.00825115290253333,0.00818822,0.00778235570792504,3166.8,0.95,0.00349108,0.0131689,NA,NA,NA,NA,NA,NA,NA
"beta[3]",82.9934181666667,82.16155,80.947699501051,6557,0.95,47.3458,118.904,NA,NA,NA,NA,NA,NA,NA
"beta[4]",0.0047573542683452,0.00477119,0.00485286633296059,2929.8,0.95,-0.00249122,0.0116519,NA,NA,NA,NA,NA,NA,NA
"beta[5]",18.8785278053267,18.9338,19.7238778389449,13089.2,0.95,7.82924,30.5781,NA,NA,NA,NA,NA,NA,NA
"zbeta0",-0.39789549353732,-0.3975665,-0.445500822557281,8703.8,0.95,-1.07196,0.276118,NA,NA,NA,NA,NA,NA,NA
"zbeta[1]",1.44211452830667,1.42459,1.36550411288833,9815.7,0.95,0.774704,2.16431,NA,NA,NA,NA,NA,NA,NA
"zbeta[2]",4.4697204464,4.43563,4.21577720270069,3166.8,0.95,1.89115,7.13371,NA,NA,NA,NA,NA,NA,NA
"zbeta[3]",1.83123622686667,1.81288,1.78610078776115,6557,0.95,1.04646,2.62538,NA,NA,NA,NA,NA,NA,NA
"zbeta[4]",1.6600392317022,1.66487,1.6933596164813,2929.8,0.95,-0.869289,4.06582,NA,NA,NA,NA,NA,NA,NA
"zbeta[5]",1.42762215477833,1.431805,1.4915479363987,13089.2,0.95,0.592059,2.31236,NA,NA,NA,NA,NA,NA,NA
